Date ,OPEN 
05-Jun-24,3716.00
06-Jun-24,3781.00
07-Jun-24,3837.30
10-Jun-24,3895.00
11-Jun-24,3845.00
12-Jun-24,3874.40
13-Jun-24,3856.80
14-Jun-24,3889.00
18-Jun-24,3826.05
19-Jun-24,3827.65
20-Jun-24,3796.00
21-Jun-24,3827.00
24-Jun-24,3808.75
25-Jun-24,3817.00
26-Jun-24,3844.50
27-Jun-24,3831.00
28-Jun-24,3917.80
01-Jul-24,3884.00
02-Jul-24,3993.60
03-Jul-24,4020.00
04-Jul-24,3999.85
05-Jul-24,4010.00
08-Jul-24,4022.00
09-Jul-24,3985.00
10-Jul-24,3983.70
11-Jul-24,3931.00
12-Jul-24,3980.00
15-Jul-24,4235.70
16-Jul-24,4172.00
18-Jul-24,4160.00
19-Jul-24,4317.40
22-Jul-24,4299.95
23-Jul-24,4283.00
24-Jul-24,4287.50
25-Jul-24,4295.00
26-Jul-24,4350.00
29-Jul-24,4415.00
30-Jul-24,4391.10
31-Jul-24,4350.00
01-Aug-24,4399.40
02-Aug-24,4365.00
05-Aug-24,4239.00
06-Aug-24,4170.95
07-Aug-24,4228.00
08-Aug-24,4181.00
09-Aug-24,4217.00
12-Aug-24,4230.00
13-Aug-24,4213.00
14-Aug-24,4209.00
16-Aug-24,4350.00
19-Aug-24,4421.00
20-Aug-24,4505.00
21-Aug-24,4518.00
22-Aug-24,4560.00
23-Aug-24,4500.00
26-Aug-24,4489.00
27-Aug-24,4505.00
28-Aug-24,4498.75
29-Aug-24,4460.00
30-Aug-24,4500.00
02-Sep-24,4576.00
03-Sep-24,4521.05
04-Sep-24,4476.95
05-Sep-24,4481.00
06-Sep-24,4473.95
09-Sep-24,4455.00
10-Sep-24,4442.45
11-Sep-24,4521.45
12-Sep-24,4510.25
13-Sep-24,4530.00
16-Sep-24,4527.00
17-Sep-24,4513.25
18-Sep-24,4497.05
19-Sep-24,4390.05
20-Sep-24,4316.90
23-Sep-24,4300.00
24-Sep-24,4251.65
25-Sep-24,4252.35
26-Sep-24,4260.00
27-Sep-24,4335.00
30-Sep-24,4286.90
01-Oct-24,4255.55
03-Oct-24,4262.60
04-Oct-24,4225.00
07-Oct-24,4273.90
08-Oct-24,4272.60
09-Oct-24,4260.00
10-Oct-24,4253.25
11-Oct-24,4143.00
14-Oct-24,4140.00
15-Oct-24,4131.05
16-Oct-24,4085.00
17-Oct-24,4112.80
18-Oct-24,4090.00
21-Oct-24,4132.60
22-Oct-24,4066.00
23-Oct-24,3999.60
24-Oct-24,4004.00
25-Oct-24,4057.05
28-Oct-24,4068.95
29-Oct-24,4095.85
30-Oct-24,4075.00
31-Oct-24,4070.00
01-Nov-24,3989.85
04-Nov-24,3966.30
05-Nov-24,3941.10
06-Nov-24,4003.60
07-Nov-24,4169.70
08-Nov-24,4155.00
11-Nov-24,4128.20
12-Nov-24,4216.00
13-Nov-24,4178.10
14-Nov-24,4135.00
18-Nov-24,4213.00
19-Nov-24,4019.90
21-Nov-24,4044.90
22-Nov-24,4071.00
25-Nov-24,4280.00
26-Nov-24,4321.05
27-Nov-24,4358.95
28-Nov-24,4319.00
29-Nov-24,4220.00
02-Dec-24,4270.00
03-Dec-24,4314.35
04-Dec-24,4313.55
05-Dec-24,4400.80
06-Dec-24,4453.00
09-Dec-24,4430.45
10-Dec-24,4426.15
11-Dec-24,4431.85
12-Dec-24,4430.05
13-Dec-24,4434.95
16-Dec-24,4459.00
17-Dec-24,4410.00
18-Dec-24,4311.70
19-Dec-24,4282.00
20-Dec-24,4329.00
23-Dec-24,4200.05
24-Dec-24,4158.30
26-Dec-24,4179.50
27-Dec-24,4163.00
30-Dec-24,4151.00
31-Dec-24,4135.00
01-Jan-25,4094.40
02-Jan-25,4120.00
