ProductID,Date,Zip,Units,Revenue,Country
725,15-Jan-99,H1B,1,115.4475,Canada
2235,15-Jan-99,H1B,2,131.145,Canada
713,15-Jan-99,H1B,1,160.0725,Canada
574,05-Jun-02,H1B,1,869.1375,Canada
94,15-Feb-99,H1B,1,866.25,Canada
609,15-Feb-99,H1B,1,778.8375,Canada
2064,15-Mar-99,H1B,2,976.395,Canada
714,15-Jan-99,H1B,1,160.0725,Canada
826,31-May-02,H1B,1,944.9475,Canada
2149,06-Jun-02,H1B,2,871.395,Canada
992,15-Feb-99,H1B,1,288.6975,Canada
726,15-Jan-99,M4X,1,115.4475,Canada
725,15-Jan-99,M4X,1,115.4475,Canada
910,15-Mar-99,M4X,1,414.6975,Canada
727,15-Jan-99,R3T,1,62.9475,Canada
1426,15-Feb-99,R3T,1,286.02,Canada
1182,15-Jan-99,R3T,1,157.4475,Canada
976,31-May-02,R3T,1,314.9475,Canada
758,15-Jan-99,R3T,1,83.9475,Canada
1112,15-Feb-99,R3T,1,116.4975,Canada
1425,15-Feb-99,R3T,1,286.02,Canada
740,15-Jan-99,R3G,1,170.5725,Canada
604,15-Jan-99,R3G,1,461.7375,Canada
726,15-Jan-99,R3G,1,115.4475,Canada
758,15-Jan-99,R3G,1,83.9475,Canada
1131,15-Feb-99,R3G,1,419.9475,Canada
753,15-Feb-99,R3G,1,244.0725,Canada
2234,15-Feb-99,R3G,1,65.5725,Canada
739,15-Jan-99,R3G,1,170.5725,Canada
768,15-Jan-99,R3G,1,104.9475,Canada
725,15-Jan-99,R3G,1,115.4475,Canada
728,15-Jan-99,R3G,1,62.9475,Canada
757,15-Jan-99,R3G,1,83.9475,Canada
1956,15-Feb-99,R3G,2,307.545,Canada
606,15-Feb-99,R3G,1,314.7375,Canada
754,15-Feb-99,R3G,1,244.0725,Canada
2235,15-Feb-99,R3G,1,65.5725,Canada
658,15-Mar-99,R3G,1,902.7375,Canada
758,15-Jan-99,M5P,1,83.9475,Canada
1110,15-Jan-99,M5P,1,209.9475,Canada
663,15-Jan-99,M5P,1,765.45,Canada
727,15-Jan-99,M5P,1,62.9475,Canada
2277,15-Mar-99,M5P,1,251.9475,Canada
1109,15-Jan-99,M5P,1,209.9475,Canada
1120,15-Jan-99,R3V,1,173.1975,Canada
786,31-May-02,R3V,1,68.1975,Canada
2380,31-May-02,R3V,1,293.9475,Canada
1990,15-Jan-99,R3V,1,257.1975,Canada
1066,15-Feb-99,R3V,1,296.5725,Canada
1426,15-Jan-99,M5R,1,286.02,Canada
2064,15-Feb-99,M5R,1,488.1975,Canada
796,15-Mar-99,M5R,1,275.5725,Canada
1894,15-Jan-99,M6G,1,682.2375,Canada
2234,15-Jan-99,M6G,1,65.5725,Canada
599,15-Feb-99,M6G,1,753.6375,Canada
475,15-Jan-99,M6G,1,970.2,Canada
550,15-Mar-99,M6G,1,403.9875,Canada
1974,15-Jan-99,R3S,1,52.4475,Canada
2234,15-Jan-99,R3N,1,65.5725,Canada
2254,15-Jan-99,R3N,1,57.6975,Canada
990,15-Feb-99,R3N,1,472.4475,Canada
2234,15-Jan-99,L5P,2,131.145,Canada
1517,15-Jan-99,L5P,1,141.645,Canada
658,31-May-02,L5P,1,907.9875,Canada
769,15-Feb-99,L5P,1,257.1975,Canada
491,15-Jan-99,L5P,1,815.325,Canada
979,31-May-02,L5P,1,393.6975,Canada
770,15-Feb-99,L5P,1,257.1975,Canada
901,15-Feb-99,L5P,1,409.4475,Canada
491,15-Mar-99,L5P,1,815.325,Canada
2255,15-Jan-99,M6H,2,115.395,Canada
990,09-Apr-03,M6H,1,440.9475,Canada
989,15-Feb-99,M6H,1,467.1975,Canada
1975,15-Feb-99,M6H,1,52.4475,Canada
2388,15-Mar-99,M6H,1,309.6975,Canada
