ProductID,Date,Zip,Units,Revenue,Country
726,15-Jan-99,75056 CEDEX 01,1,115.45,France
1909,15-Jan-99,75056 CEDEX 01,2,398.9,France
1961,15-Feb-99,75056 CEDEX 01,1,97.07,France
1517,15-Feb-99,75056 CEDEX 01,1,141.65,France
606,15-Feb-99,75056 CEDEX 01,1,314.74,France
1518,15-Feb-99,75056 CEDEX 01,1,141.65,France
786,31-May-02,75001,1,68.2,France
727,15-Jan-99,75063 CEDEX 02,2,125.9,France
559,15-Jan-99,75063 CEDEX 02,1,585.64,France
728,15-Jan-99,75063 CEDEX 02,2,125.9,France
964,10-Apr-03,75063 CEDEX 02,1,320.2,France
475,11-Apr-03,75063 CEDEX 02,1,1037.4,France
2055,05-Jun-02,75063 CEDEX 02,1,569.57,France
1535,15-Feb-99,75063 CEDEX 02,1,309.65,France
1536,15-Feb-99,75063 CEDEX 02,1,309.65,France
757,15-Jan-99,75048 CEDEX 01,2,167.9,France
2047,15-Feb-99,75048 CEDEX 01,1,372.7,France
758,15-Mar-99,75003,1,83.95,France
767,15-Jan-99,75020,1,104.95,France
2199,15-Jan-99,75020,1,175.82,France
2254,15-Jan-99,75020,1,57.7,France
2240,31-May-02,75020,1,89.2,France
2295,31-May-02,75020,1,860.95,France
1186,03-Jun-02,75020,1,404.2,France
768,15-Jan-99,75020,1,104.95,France
767,15-Feb-99,75020,1,104.95,France
2277,15-Feb-99,75020,1,251.95,France
663,15-Feb-99,75020,1,765.45,France
768,15-Feb-99,75020,1,104.95,France
1122,15-Feb-99,75020,2,314.9,France
901,15-Mar-99,75020,1,409.45,France
396,31-May-02,75004,1,892.24,France
770,15-Feb-99,75004,3,771.59,France
901,15-Feb-99,75004,1,409.45,France
921,15-Feb-99,75004,1,524.95,France
726,15-Feb-99,75004,2,230.9,France
758,15-Feb-99,75004,2,167.9,France
964,15-Feb-99,75004,2,713.9,France
797,15-Feb-99,75004,3,905.47,France
838,15-Feb-99,75004,1,934.45,France
901,15-Mar-99,75004,1,409.45,France
769,15-Feb-99,75004,3,771.59,France
609,15-Feb-99,75004,1,778.84,France
725,15-Feb-99,75004,2,230.9,France
757,15-Feb-99,75004,2,167.9,France
901,15-Jan-99,75082 CEDEX 02,1,409.45,France
687,15-Jan-99,75005,1,445.99,France
683,01-Jun-02,75005,1,839.74,France
1173,15-Jan-99,75134 CEDEX 11,1,524.95,France
2056,31-May-02,75134 CEDEX 11,1,330.7,France
2254,15-Feb-99,75134 CEDEX 11,1,57.7,France
726,15-Mar-99,75134 CEDEX 11,1,115.45,France
2255,15-Feb-99,75134 CEDEX 11,1,57.7,France
2032,15-Mar-99,75134 CEDEX 11,1,220.45,France
2255,15-Feb-99,75006,1,57.7,France
989,15-Mar-99,75006,1,451.45,France
2234,15-Jan-99,75215 CEDEX 16,2,131.15,France
2277,15-Jan-99,75215 CEDEX 16,1,251.95,France
2240,31-May-02,75215 CEDEX 16,1,89.2,France
676,06-Jun-02,75007,1,837.38,France
2254,15-Jan-99,75023 CEDEX 01,1,57.7,France
2255,15-Jan-99,75023 CEDEX 01,1,57.7,France
901,15-Mar-99,75023 CEDEX 01,2,818.9,France
796,15-Mar-99,75008,1,267.7,France
1014,15-Mar-99,75008,2,173.15,France
2277,15-Jan-99,75172 CEDEX 17,1,251.95,France
2282,15-Jan-99,75229 CEDEX 05,1,304.45,France
1116,15-Feb-99,75229 CEDEX 05,1,251.95,France
2254,15-Feb-99,75229 CEDEX 05,1,57.7,France
2255,15-Feb-99,75229 CEDEX 05,1,57.7,France
739,15-Jan-99,75010,1,170.57,France
2277,15-Mar-99,75010,1,251.95,France
2407,15-Jan-99,75011,1,73.45,France
1005,15-Jan-99,75011,1,107.57,France
921,15-Feb-99,75011,1,524.95,France
475,15-Feb-99,75011,1,970.2,France
1166,15-Feb-99,75011,1,535.45,France
400,15-Jan-99,75120 CEDEX 02,1,683.81,France
729,10-Apr-03,75120 CEDEX 02,1,309.7,France
730,10-Apr-03,75120 CEDEX 02,1,309.7,France
2081,03-Jun-02,75012,1,225.7,France
1957,15-Feb-99,75012,1,148,France
964,07-Jun-02,75012,1,320.2,France
1956,15-Feb-99,75012,1,148,France
443,15-Jan-99,75118 CEDEX 02,1,790.91,France
2255,03-Jun-02,75118 CEDEX 02,1,60.32,France
2254,03-Jun-02,75118 CEDEX 02,1,60.32,France
604,06-Jun-02,75013,1,480.64,France
475,15-Jan-99,75077 CEDEX 02,1,970.2,France
396,15-Jan-99,75077 CEDEX 02,1,857.06,France
433,15-Feb-99,75077 CEDEX 02,1,804.3,France
396,15-Feb-99,75014,1,857.06,France
2339,15-Feb-99,75014,1,488.2,France
1974,15-Mar-99,75014,1,52.45,France
499,15-Jan-99,75015,1,846.3,France
671,06-Jun-02,75015,1,892.24,France
94,15-Feb-99,75015,2,1732.5,France
2235,15-Jan-99,75016,1,65.57,France
757,15-Mar-99,75016,1,83.95,France
195,15-Feb-99,75016,1,750.23,France
604,15-Jan-99,75106 CEDEX 02,1,461.74,France
786,31-May-02,75106 CEDEX 02,1,68.2,France
1085,31-May-02,75106 CEDEX 02,1,84,France
467,31-May-02,75106 CEDEX 02,1,900.64,France
2211,15-Feb-99,75106 CEDEX 02,1,102.32,France
550,15-Feb-99,75106 CEDEX 02,2,807.98,France
2057,15-Jan-99,75017,1,472.45,France
826,31-May-02,75017,1,918.7,France
753,31-May-02,75017,1,246.7,France
606,03-Jun-02,75017,1,323.14,France
631,15-Feb-99,75017,1,346.24,France
2284,15-Feb-99,75017,1,293.95,France
606,15-Feb-99,75017,1,314.74,France
727,15-Mar-99,75017,1,62.95,France
604,15-Feb-99,75017,1,461.74,France
2410,15-Feb-99,75018,1,99.7,France
727,15-Jan-99,75068 CEDEX 02,1,62.95,France
2373,15-Feb-99,75068 CEDEX 02,1,551.2,France
2126,06-Jun-02,75068 CEDEX 02,1,472.45,France
1215,15-Feb-99,75068 CEDEX 02,1,356.95,France
1517,15-Feb-99,75068 CEDEX 02,1,141.65,France
