"appid","platform_id"
"1706290",1
"1706310",1
"1706310",2
"1706310",3
"1706530",1
"1707040",1
"1707040",2
"1707270",1
"1708400",1
"1710730",1
"1710730",2
"1710740",1
"2252213",1
"1709320",1
"1710920",1
"1710920",2
"1710920",3
"2252214",1
"1710950",1
"1711731",1
"1711732",1
"1711780",1
"1680173",1
"1714010",1
"1706590",1
"1714400",1
"1714410",1
"1716710",1
"1788460",1
"1717310",1
"1717330",1
"1717470",1
"1718810",1
"1712210",1
"1718840",1
"1719040",1
"1719040",2
"1719070",1
"1719420",1
"1719440",1
"1719600",1
"1719610",1
"1719620",1
"1719710",1
"1720380",1
"1720930",1
"1721980",1
"1103940",1
"1723030",1
"1724870",1
"1724890",1
"1725220",1
"1725290",1
"1725370",1
"3055630",1
"1725380",1
"1725410",1
"1725410",3
"1726340",1
"1726560",1
"1726570",1
"1726610",1
"1726650",1
"2826510",1
"1727040",1
"1727090",1
"1727090",2
"1727090",3
"1718820",1
"1727110",1
"1727540",1
"1727550",1
"1727890",1
"1707533",1
"1707533",2
"379242",1
"1731890",1
"1731890",2
"1731890",3
"1734040",1
"1734050",1
"1734150",1
"1735030",1
"1735040",1
"3809360",1
"1735350",1
"1735350",2
"1735350",3
"1735370",1
"1735370",2
"1735370",3
"1736010",1
"1722500",1
"1736020",1
"1736060",1
"1736102",1
"1736220",1
"1736240",1
"1736450",1
"1736460",1
"1736470",1
"2833930",1
"1737750",1
"1740150",1
"1740150",3
"1740350",1
"1740440",1
"1740710",1
"1740710",2
"1742740",1
"1742770",1
"1742830",1
"1742850",1
"1742850",2
"1742850",3
"1743070",1
"1743410",1
"1743430",1
"1743430",2
"1743430",3
"1743730",1
"1743730",2
"1743730",3
"1743780",1
"1743780",2
"1743790",1
"1743790",3
"1744760",1
"1744770",1
"1744770",2
"1744770",3
"2153570",1
"1746450",1
"1749340",1
"1749700",1
"3104900",1
"3104900",3
"1750370",1
"1750370",2
"1750370",3
"65760",1
"1750410",1
"1750440",1
"1751450",1
"3104920",1
"3104920",3
"1707590",1
"2835070",1
"1752230",1
"1752230",3
"1752240",1
"3105190",1
"1792850",1
"3817160",1
"1754250",1
"1754270",1
"1754580",1
"1756230",1
"1756260",1
"1736100",1
"1756280",1
"1757090",1
"2252215",1
"1757100",1
"1758770",1
"1759010",1
"1759050",1
"1759510",1
"1759510",2
"1759620",1
"1759630",1
"1759680",1
"246170",1
"1760510",1
"1760530",1
"1760530",3
"1760580",1
"1760600",1
"1761070",1
"1761080",1
"1761200",1
"1761210",1
"1761220",1
"1761220",3
