"appid","developer_id"
"1280",18998
"1300",6118
"1313",6118
"1313",34532
"1500",66572
"1502",66572
"1510",66572
"1520",66572
"1522",66572
"1530",66572
"1540",66572
"1600",29519
"1610",53223
"1620",10651
"1630",10651
"1640",10651
"1670",10651
"1690",53223
"1700",6299
"1710",6299
"1840",59202
"1900",24017
"1920",24017
"1930",24017
"2100",6299
"2120",6299
"2200",50273
"2210",69440
"2210",50273
"2270",50273
"2280",50273
"2280",34532
"2310",50273
"2310",34532
"2310",69859
"2320",50273
"2320",34532
"2320",69859
"2400",28970
"2420",28970
"2450",28970
"2500",85690
"2510",85690
"2520",90736
"2540",55423
"2590",2180
"2600",45974
"2610",57399
"2620",31917
"2630",31917
"2640",48613
"2680",41315
"2690",24975
"2700",42363
"2700",43479
"2710",6593
"2720",14125
"2730",14125
"2760",55800
"2790",80737
"2800",41713
"2810",41713
"2820",41713
"2840",41713
"2850",41713
"2870",41713
"2900",29519
"2910",29519
"2920",29519
"2990",2389
"2990",23673
"2990",83093
"3010",83687
"3020",83687
"3050",83687
"3130",81758
"3170",7035
"3190",7035
"3210",88579
"3230",85442
"3260",71865
"3270",20656
"3280",20656
"3300",72071
"3302",72071
"3310",72071
"3312",72071
"3320",72071
"3322",72071
"3330",72071
"3332",72071
"3340",72071
"3342",72071
"3350",72071
"3352",72071
"3360",72071
"3362",72071
"3380",72071
"3382",72071
"3390",72071
"3392",72071
"3400",72071
"3410",72071
"3412",72071
"3420",72071
"3422",72071
"3430",72071
"3432",72071
"3450",72071
"3452",72071
"3460",72071
"3462",72071
"3480",72071
"3482",72071
"3483",72071
"3490",22445
"3500",89214
"3502",89214
"3510",89214
"3512",89214
"3520",89214
"3522",89214
"3530",89214
"3532",89214
"3540",72071
"3560",72071
"3562",72071
"3570",89214
"3572",89214
"3580",72071
"3582",72071
"3590",72071
"3592",72071
"3600",89214
"3602",89214
"3610",89214
"3612",89214
"3620",72071
"3622",72071
"3700",85430
"3710",85430
"3720",99685
"3730",85430
"3800",62858
"3800",58788
"3810",22774
"3820",22774
"3830",39190
"3838",39190
"3839",39190
"3850",22774
"3900",47611
"3910",47611
"3920",47611
"3960",5952
"3970",80627
"3980",30202
